Seller Platform,Seller SKU,Manufacture Name,Manufacture Code,Product Title,Description,Category,Subcategories,Packaging,Qty,Product Page URL,Image URL
DC Dental, 616-IMN9148 , Hu-Friedy , 616-IMN9148 ,IMS Infinity Series 14-Inst DD Cassette Blue,"Cassette holds 14 instruments. Exterior Dimensions 4.5"" x 8"" x 1.5"" (114 mm x
203 mm x 38 mm).

", Supplies ,Infection Control,,,https://www.dcdental.com/IMS-Infinity-Series-Double-Decker-Cassette14-Instrument-IMN9148,https://www.dcdental.com/images/872751844611.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 809-LL , A Titan , 809-LL ,Carver Loma Linda,"Carver Loma Linda

", Supplies ,Instruments,,,https://www.dcdental.com/CarversA-Titan-LL,https://www.dcdental.com/images/501804118866.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 809-Levy-7 , A Titan , 809-Levy-7 ,Carver Levy,"Carver 7 Levy Double End Stainless Steel Each

", Supplies ,Instruments,,,https://www.dcdental.com/CarversA-Titan-Levy-7,https://www.dcdental.com/images/423420173275.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 809-Hollenbeck-3 , A Titan , 809-Hollenbeck-3 ,Carver DE Hollenbeck-3,"Double ended Hollenback Carver has a rectangular-shaped plugger for use with
condensable composite material in posterior restorations. Made in the USA from
100% stainless steel.

", Supplies ,Instruments,,,https://www.dcdental.com/CarversA-Titan-Hollenbeck-3,https://www.dcdental.com/images/383756185345.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 809-Hollenbeck-1 , A Titan , 809-Hollenbeck-1 ,Carver DE Hollenbeck-1,"Double ended Hollenback Carver has a rectangular-shaped plugger for use with
condensable composite material in posterior restorations. Made in the USA from
100% stainless steel.

", Supplies ,Instruments,,,https://www.dcdental.com/CarversA-Titan-Hollenbeck-1,https://www.dcdental.com/images/407628688007.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 999-IN25-7180 , House Brand , 999-IN25-7180 ,"Abbey Needle Holder 5""","You'll notice that all the box lock joints are meticulously beveled. This not
only gives each instrument a finished quality look, but also reduces the
possibility of snagging sutures or exam gloves. Notice too, as the jaws begin
to touch, so do the ratchets.

", Supplies ,Instruments,,,https://www.dcdental.com/Needle-Holders-Misc.-IN25-7180,https://www.dcdental.com/images/157237651182.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 194-HM162A-016-RA , Meisinger , 194-HM162A-016-RA ,Meisinger Surgical Carbide Bur Lindemann RA 2/Pk,"

", Supplies ,Burs & Diamonds,Pk,2,https://www.dcdental.com/Meisinger-Surgical-Carbide-Burs-HM162A-016-RA,https://www.dcdental.com/images/756233438836.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 777-C7970100115P , Coltene/Whaledent , 777-C7970100115P ,Coltolux LED Curing Light Kit Pink,"The Coltolux® LED combines a slim curing probe with high output in a cordless
lightweight pen-style design. The heat sink technology reduces the amount of
heat emission and eliminates the need for a fan.

", Supplies ,Small Equipment,,,https://www.dcdental.com/Coltolux-LED-C7970100115P,https://www.dcdental.com/images/803488386778.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 777-R200001 , Coltene/Whaledent , 777-R200001 ,Alpen Carbides O&S Burs 10/Pk RA 1,"Alpen Carbide Operative and Surgical friction grip surgical length burs are
rotary instruments used for various dental procedures. Eliminates joint
breakage: one-piece construction eliminates brazed joint breakage and rusting
Friction grip surgical length shank (FGOS) Last longer Designed to rapidly cut
amalgam, porcelain, metal, enamel and dentin Cuts freely and aggressively
without stalling or clogging Reduces prep and chair time

", Supplies ,Burs & Diamonds,Pk RA ,10,https://www.dcdental.com/Alpen-Carbides-Operative-Surgical-R200001,https://www.dcdental.com/images/322618004073.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 736-609575 , Directa Dental , 736-609575 ,Directa Temp Poly Crowns Molar Translucent L4R 3/Pk,"Directa crowns are made of high quality polycarbonate which is resilient to
mouth fluids and not brittle so it can be trimmed without risk of damage. The
unique Directa Selecta mould guide makes even tiny crowns easy to handle,
select and dispense. Simply select the right size and mould quickly and
easily. The Selecta is then refilled from the organiser box ready for next
time.

", Supplies ,Crowns,Pk,3,https://www.dcdental.com/Directa-Temporary-Polycarbonate-Crowns-609575,https://www.dcdental.com/images/373041767578.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 736-609576 , Directa Dental , 736-609576 ,Directa Temp Poly Crowns Molar Translucent L5R 3/Pk,"Directa crowns are made of high quality polycarbonate which is resilient to
mouth fluids and not brittle so it can be trimmed without risk of damage. The
unique Directa Selecta mould guide makes even tiny crowns easy to handle,
select and dispense. Simply select the right size and mould quickly and
easily. The Selecta is then refilled from the organiser box ready for next
time.

", Supplies ,Crowns,Pk,3,https://www.dcdental.com/Directa-Temporary-Polycarbonate-Crowns-609576,https://www.dcdental.com/images/130021263761.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 736-609577 , Directa Dental , 736-609577 ,Directa Temp Poly Crowns Molar Translucent L6R 3/Pk,"Directa crowns are made of high quality polycarbonate which is resilient to
mouth fluids and not brittle so it can be trimmed without risk of damage. The
unique Directa Selecta mould guide makes even tiny crowns easy to handle,
select and dispense. Simply select the right size and mould quickly and
easily. The Selecta is then refilled from the organiser box ready for next
time.

", Supplies ,Crowns,Pk,3,https://www.dcdental.com/Directa-Temporary-Polycarbonate-Crowns-609577,https://www.dcdental.com/images/541031220574.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 736-609578 , Directa Dental , 736-609578 ,Directa Temp Poly Crowns Molar Translucent L7R 3/Pk,"Directa crowns are made of high quality polycarbonate which is resilient to
mouth fluids and not brittle so it can be trimmed without risk of damage. The
unique Directa Selecta mould guide makes even tiny crowns easy to handle,
select and dispense. Simply select the right size and mould quickly and
easily. The Selecta is then refilled from the organiser box ready for next
time.

", Supplies ,Crowns,Pk,3,https://www.dcdental.com/Directa-Temporary-Polycarbonate-Crowns-609578,https://www.dcdental.com/images/484825875560.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 736-609579 , Directa Dental , 736-609579 ,Directa Temp Poly Crowns Molar Translucent L8R 3/Pk,"Directa crowns are made of high quality polycarbonate which is resilient to
mouth fluids and not brittle so it can be trimmed without risk of damage. The
unique Directa Selecta mould guide makes even tiny crowns easy to handle,
select and dispense. Simply select the right size and mould quickly and
easily. The Selecta is then refilled from the organiser box ready for next
time.

", Supplies ,Crowns,Pk,3,https://www.dcdental.com/Directa-Temporary-Polycarbonate-Crowns-609579,https://www.dcdental.com/images/683311854885.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 736-609580 , Directa Dental , 736-609580 ,Directa Temp Poly Crowns Molar Translucent L9R 3/Pk,"Directa crowns are made of high quality polycarbonate which is resilient to
mouth fluids and not brittle so it can be trimmed without risk of damage. The
unique Directa Selecta mould guide makes even tiny crowns easy to handle,
select and dispense. Simply select the right size and mould quickly and
easily. The Selecta is then refilled from the organiser box ready for next
time.

", Supplies ,Crowns,Pk,3,https://www.dcdental.com/Directa-Temporary-Polycarbonate-Crowns-609580,https://www.dcdental.com/images/615370231529.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 736-609581 , Directa Dental , 736-609581 ,Directa Temp Poly Crowns Molar Translucent L1L 3/Pk,"Directa crowns are made of high quality polycarbonate which is resilient to
mouth fluids and not brittle so it can be trimmed without risk of damage. The
unique Directa Selecta mould guide makes even tiny crowns easy to handle,
select and dispense. Simply select the right size and mould quickly and
easily. The Selecta is then refilled from the organiser box ready for next
time.

", Supplies ,Crowns,Pk,3,https://www.dcdental.com/Directa-Temporary-Polycarbonate-Crowns-609581,https://www.dcdental.com/images/486267015276.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 736-609582 , Directa Dental , 736-609582 ,Directa Temp Poly Crowns Molar Translucent L2L 3/Pk,"Directa crowns are made of high quality polycarbonate which is resilient to
mouth fluids and not brittle so it can be trimmed without risk of damage. The
unique Directa Selecta mould guide makes even tiny crowns easy to handle,
select and dispense. Simply select the right size and mould quickly and
easily. The Selecta is then refilled from the organiser box ready for next
time.

", Supplies ,Crowns,Pk,3,https://www.dcdental.com/Directa-Temporary-Polycarbonate-Crowns-609582,https://www.dcdental.com/images/842713213670.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 736-609583 , Directa Dental , 736-609583 ,Directa Temp Poly Crowns Molar Translucent L3L 3/Pk,"Directa crowns are made of high quality polycarbonate which is resilient to
mouth fluids and not brittle so it can be trimmed without risk of damage. The
unique Directa Selecta mould guide makes even tiny crowns easy to handle,
select and dispense. Simply select the right size and mould quickly and
easily. The Selecta is then refilled from the organiser box ready for next
time.

", Supplies ,Crowns,Pk,3,https://www.dcdental.com/Directa-Temporary-Polycarbonate-Crowns-609583,https://www.dcdental.com/images/342063421522.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 736-609584 , Directa Dental , 736-609584 ,Directa Temp Poly Crowns Molar Translucent L4L 3/Pk,"Directa crowns are made of high quality polycarbonate which is resilient to
mouth fluids and not brittle so it can be trimmed without risk of damage. The
unique Directa Selecta mould guide makes even tiny crowns easy to handle,
select and dispense. Simply select the right size and mould quickly and
easily. The Selecta is then refilled from the organiser box ready for next
time.

", Supplies ,Crowns,Pk,3,https://www.dcdental.com/Directa-Temporary-Polycarbonate-Crowns-609584,https://www.dcdental.com/images/122631072215.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 736-609585 , Directa Dental , 736-609585 ,Directa Temp Poly Crowns Molar Translucent L5L 3/Pk,"Directa crowns are made of high quality polycarbonate which is resilient to
mouth fluids and not brittle so it can be trimmed without risk of damage. The
unique Directa Selecta mould guide makes even tiny crowns easy to handle,
select and dispense. Simply select the right size and mould quickly and
easily. The Selecta is then refilled from the organiser box ready for next
time.

", Supplies ,Crowns,Pk,3,https://www.dcdental.com/Directa-Temporary-Polycarbonate-Crowns-609585,https://www.dcdental.com/images/326655564729.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 736-609586 , Directa Dental , 736-609586 ,Directa Temp Poly Crowns Molar Translucent L6L 3/Pk,"Directa crowns are made of high quality polycarbonate which is resilient to
mouth fluids and not brittle so it can be trimmed without risk of damage. The
unique Directa Selecta mould guide makes even tiny crowns easy to handle,
select and dispense. Simply select the right size and mould quickly and
easily. The Selecta is then refilled from the organiser box ready for next
time.

", Supplies ,Crowns,Pk,3,https://www.dcdental.com/Directa-Temporary-Polycarbonate-Crowns-609586,https://www.dcdental.com/images/573406511369.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 736-609587 , Directa Dental , 736-609587 ,Directa Temp Poly Crowns Molar Translucent L7L 3/Pk,"Directa crowns are made of high quality polycarbonate which is resilient to
mouth fluids and not brittle so it can be trimmed without risk of damage. The
unique Directa Selecta mould guide makes even tiny crowns easy to handle,
select and dispense. Simply select the right size and mould quickly and
easily. The Selecta is then refilled from the organiser box ready for next
time.

", Supplies ,Crowns,Pk,3,https://www.dcdental.com/Directa-Temporary-Polycarbonate-Crowns-609587,https://www.dcdental.com/images/684636581807.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 736-609588 , Directa Dental , 736-609588 ,Directa Temp Poly Crowns Molar Translucent L8L 3/Pk,"Directa crowns are made of high quality polycarbonate which is resilient to
mouth fluids and not brittle so it can be trimmed without risk of damage. The
unique Directa Selecta mould guide makes even tiny crowns easy to handle,
select and dispense. Simply select the right size and mould quickly and
easily. The Selecta is then refilled from the organiser box ready for next
time.

", Supplies ,Crowns,Pk,3,https://www.dcdental.com/Directa-Temporary-Polycarbonate-Crowns-609588,https://www.dcdental.com/images/647368162157.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 736-609589 , Directa Dental , 736-609589 ,Directa Temp Poly Crowns Molar Translucent L9L 3/Pk,"Directa crowns are made of high quality polycarbonate which is resilient to
mouth fluids and not brittle so it can be trimmed without risk of damage. The
unique Directa Selecta mould guide makes even tiny crowns easy to handle,
select and dispense. Simply select the right size and mould quickly and
easily. The Selecta is then refilled from the organiser box ready for next
time.

", Supplies ,Crowns,Pk,3,https://www.dcdental.com/Directa-Temporary-Polycarbonate-Crowns-609589,https://www.dcdental.com/images/568263838278.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 270-91515177 , Porter , 270-91515177 ,Replacement Matrix Scavenger Cone Assembly,"Unique, comfortable, quiet and safe. Rated first in scavenging efficiency in
independent clinical trials, the Porter scavenging system is the only double
mask (mask within a mask) system.

", Supplies ,Miscellaneous,,,https://www.dcdental.com/Scavenger-91515177,https://www.dcdental.com/images/523164111141.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 809-480 , A Titan , 809-480 ,"Tissue Forcep Semkin 1x2 Teeth Straight 6""","Straight Semken tissue forceps has 1 X 2 Teeth and is used to grasp and
stabilize soft tissue. 6"""" in length and is made in Germany from 100% German
stainless steel.

", Supplies ,Instruments,,,https://www.dcdental.com/Tissue-Forceps-480,https://www.dcdental.com/images/465250167642.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 809-480S , A Titan , 809-480S ,"Tissue Forcep Semkin 1x2 Teeth Serrated 6""","Straight Semken tissue forceps has 1 X 2 Teeth and is used to grasp and
stabilize soft tissue. 6"""" in length and is made in Germany from 100% German
stainless steel.

", Supplies ,Instruments,,,https://www.dcdental.com/Tissue-Forceps-480S,https://www.dcdental.com/images/264037334754.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 809-481 , A Titan , 809-481 ,"Tissue Forcep Semkin 1x2 Teeth Curved 5""","Semken tissue forceps has 1 X 2 Teeth, measures 5"" or 5 1/2"" in length, is
curved, and is used to grasp and stabilize soft tissue. Made in Germany from
100% German stainless steel.

", Supplies ,Instruments,,,https://www.dcdental.com/Tissue-Forceps-481,https://www.dcdental.com/images/608757776577.01.png?resizeid=2&resizeh=600&resizew=600
